2016-12-19 23:41:46,138 INFO  xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/baobaotao-servlet.xml]
2016-12-19 23:41:46,156 INFO  annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
2016-12-19 23:41:46,174 INFO  support.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@42f51cb: defining beans [loginController,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.web.servlet.view.InternalResourceViewResolver#0,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@6618327c
2016-12-19 23:41:46,255 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/login.create] onto handler 'loginController'
2016-12-19 23:41:46,255 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/my_login_register.create] onto handler 'loginController'
2016-12-19 23:41:46,255 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/registerProcess.create] onto handler 'loginController'
2016-12-19 23:41:46,255 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/loginCheck.create] onto handler 'loginController'
2016-12-19 23:41:46,255 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/register.create] onto handler 'loginController'
2016-12-19 23:41:46,356 INFO  servlet.DispatcherServlet - FrameworkServlet 'baobaotao': initialization completed in 223 ms
2016-12-20 00:14:19,241 INFO  support.XmlWebApplicationContext - Closing WebApplicationContext for namespace 'baobaotao-servlet': startup date [Mon Dec 19 23:41:46 CST 2016]; parent: Root WebApplicationContext
2016-12-20 00:14:19,241 INFO  support.DefaultListableBeanFactory - Destroying singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@42f51cb: defining beans [loginController,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.web.servlet.view.InternalResourceViewResolver#0,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@6618327c
2016-12-20 00:14:19,242 INFO  support.XmlWebApplicationContext - Closing Root WebApplicationContext: startup date [Mon Dec 19 23:41:45 CST 2016]; root of context hierarchy
